backend,model,batch_size,sequence_length,params,status,error_type,memory_mb,mps_tensor_bytes_mb,step_ms,tokens_per_s
mps,small,8.0,256.0,4273664.0,ok,,1314.75,308.461669921875,43.22364600011497,47381.472631775505
mps,small,16.0,256.0,4273664.0,ok,,1218.75,536.6494140625,67.62143749801908,60572.507056212606
mps,small,32.0,256.0,4273664.0,ok,,2274.8125,1184.930419921875,130.93258349908865,62566.54975464545
mps,small,64.0,256.0,4273664.0,ok,,3426.75,2353.5556640625,261.8193960006465,62577.487574524625
mps,small,128.0,256.0,4273664.0,ok,,5738.75,4690.80615234375,524.8745835015143,62430.1519448702
mps,small,256.0,256.0,4273664.0,ok,,11560.71875,8341.807373046875,2340.7520830041904,27997.839017573
mps,small,512.0,256.0,,oom,SafetyCapSystemMemory,,,,
mps,small,8.0,128.0,4240896.0,ok,,1194.75,154.257568359375,26.130479000130435,39187.95365346684
mps,small,8.0,256.0,4273664.0,ok,,1314.75,308.461669921875,43.12164600196411,47493.54882943748
mps,small,8.0,512.0,4339200.0,ok,,1218.75,664.869873046875,78.52439600173966,52162.13315297905
mps,small,8.0,1024.0,4470272.0,ok,,2282.75,1569.686279296875,188.2296250005311,43521.31073935299
mps,small,8.0,2048.0,4732416.0,ok,,5986.75,4217.328857421875,525.0223545008339,31206.2902837292
mps,small,8.0,4096.0,5256704.0,ok,,17538.734375,14556.344482421875,1800.325645999692,18201.151593218823
mps,tiny,8.0,256.0,953856.0,ok,,1162.75,181.735107421875,18.11864599585533,113032.72885117812
mps,small,8.0,256.0,4273664.0,ok,,1314.765625,308.461669921875,43.13497949988232,47478.86804966691
mps,medium,8.0,256.0,27448320.0,ok,,1266.75,1034.405029296875,161.73975000128848,12662.3170864533
mps,large,8.0,256.0,88398336.0,ok,,3410.734375,2561.0634765625,450.6666045017482,4544.379325076117
mps,xl,8.0,256.0,205998080.0,ok,,6266.75,4986.002685546875,958.446583499608,2136.7909649404446
