run_id,timestamp,experiment,backend,device,model,dataset,batch_size,sequence_length,precision,phase,iteration,latency_ms,throughput,throughput_unit,memory_mb,memory_kind,loss,accuracy,status,error_type,error,extra,metadata
20260919T172639,2026-09-19T17:28:46.721+07:00,memory,mps,Apple M1 Pro (16-core GPU),small,synthetic_markov,8,256,fp32,config,,43.22364600011497,47381.472631775505,tokens/s,1314.75,"mps_driver_allocated_memory (sampled max, lower bound of peak; includes allocator cache)",7.880302906036377,,ok,,,"{""ladder"": ""batch_size"", ""d_model"": 256, ""n_layers"": 4, ""n_heads"": 4, ""tokens_per_step"": 2048, ""wall_s"": 2.6452600955963135, ""n_params"": 4273664, ""capacity_mb"": 25559.046875, ""capacity_kind"": ""Metal recommended max working set (unified memory)"", ""baseline_rss_mb"": 236.296875, ""step_ms_all"": [49.66570800024783, 36.781583999982104], ""process_rss_mb"": 487.75, ""mps_current_allocated_mb"": 65.2109375, ""mps_driver_allocated_mb"": 1314.734375, ""mps_current_allocated_sampled_peak_mb"": 308.461669921875}","{""torch"":""2.14.0"",""device_name"":""Apple M1 Pro (16-core GPU)"",""seed"":1234,""git_commit"":""2c24789d48523ca307f7e9c6d6bded783520cc40"",""code_sha256"":""ad2062058ca50491"",""hostname"":""Kims-MacBook-Pro-16.local""}"
20260919T172639,2026-09-19T17:28:49.567+07:00,memory,mps,Apple M1 Pro (16-core GPU),small,synthetic_markov,16,256,fp32,config,,67.62143749801908,60572.507056212606,tokens/s,1218.75,"mps_driver_allocated_memory (sampled max, lower bound of peak; includes allocator cache)",7.981728553771973,,ok,,,"{""ladder"": ""batch_size"", ""d_model"": 256, ""n_layers"": 4, ""n_heads"": 4, ""tokens_per_step"": 4096, ""wall_s"": 2.8363749980926514, ""n_params"": 4273664, ""capacity_mb"": 25559.046875, ""capacity_kind"": ""Metal recommended max working set (unified memory)"", ""baseline_rss_mb"": 235.828125, ""step_ms_all"": [67.39012499747332, 67.85274999856483], ""process_rss_mb"": 487.796875, ""mps_current_allocated_mb"": 65.2109375, ""mps_driver_allocated_mb"": 1218.71875, ""mps_current_allocated_sampled_peak_mb"": 536.6494140625}","{""torch"":""2.14.0"",""device_name"":""Apple M1 Pro (16-core GPU)"",""seed"":1234,""git_commit"":""2c24789d48523ca307f7e9c6d6bded783520cc40"",""code_sha256"":""ad2062058ca50491"",""hostname"":""Kims-MacBook-Pro-16.local""}"
20260919T172639,2026-09-19T17:28:52.635+07:00,memory,mps,Apple M1 Pro (16-core GPU),small,synthetic_markov,32,256,fp32,config,,130.93258349908865,62566.54975464545,tokens/s,2274.8125,"mps_driver_allocated_memory (sampled max, lower bound of peak; includes allocator cache)",8.069012641906738,,ok,,,"{""ladder"": ""batch_size"", ""d_model"": 256, ""n_layers"": 4, ""n_heads"": 4, ""tokens_per_step"": 8192, ""wall_s"": 3.0567080974578857, ""n_params"": 4273664, ""capacity_mb"": 25559.046875, ""capacity_kind"": ""Metal recommended max working set (unified memory)"", ""baseline_rss_mb"": 235.671875, ""step_ms_all"": [131.0059169991291, 130.8592499990482], ""process_rss_mb"": 490.90625, ""mps_current_allocated_mb"": 65.2109375, ""mps_driver_allocated_mb"": 2274.71875, ""mps_current_allocated_sampled_peak_mb"": 1184.930419921875}","{""torch"":""2.14.0"",""device_name"":""Apple M1 Pro (16-core GPU)"",""seed"":1234,""git_commit"":""2c24789d48523ca307f7e9c6d6bded783520cc40"",""code_sha256"":""ad2062058ca50491"",""hostname"":""Kims-MacBook-Pro-16.local""}"
20260919T172639,2026-09-19T17:28:55.903+07:00,memory,mps,Apple M1 Pro (16-core GPU),small,synthetic_markov,64,256,fp32,config,,261.8193960006465,62577.487574524625,tokens/s,3426.75,"mps_driver_allocated_memory (sampled max, lower bound of peak; includes allocator cache)",8.138934135437012,,ok,,,"{""ladder"": ""batch_size"", ""d_model"": 256, ""n_layers"": 4, ""n_heads"": 4, ""tokens_per_step"": 16384, ""wall_s"": 3.2586052417755127, ""n_params"": 4273664, ""capacity_mb"": 25559.046875, ""capacity_kind"": ""Metal recommended max working set (unified memory)"", ""baseline_rss_mb"": 236.265625, ""step_ms_all"": [262.5932919982006, 261.04550000309246], ""process_rss_mb"": 494.59375, ""mps_current_allocated_mb"": 65.2109375, ""mps_driver_allocated_mb"": 3426.71875, ""mps_current_allocated_sampled_peak_mb"": 2353.5556640625}","{""torch"":""2.14.0"",""device_name"":""Apple M1 Pro (16-core GPU)"",""seed"":1234,""git_commit"":""2c24789d48523ca307f7e9c6d6bded783520cc40"",""code_sha256"":""ad2062058ca50491"",""hostname"":""Kims-MacBook-Pro-16.local""}"
20260919T172639,2026-09-19T17:28:59.984+07:00,memory,mps,Apple M1 Pro (16-core GPU),small,synthetic_markov,128,256,fp32,config,,524.8745835015143,62430.1519448702,tokens/s,5738.75,"mps_driver_allocated_memory (sampled max, lower bound of peak; includes allocator cache)",8.186525344848633,,ok,,,"{""ladder"": ""batch_size"", ""d_model"": 256, ""n_layers"": 4, ""n_heads"": 4, ""tokens_per_step"": 32768, ""wall_s"": 4.0709967613220215, ""n_params"": 4273664, ""capacity_mb"": 25559.046875, ""capacity_kind"": ""Metal recommended max working set (unified memory)"", ""baseline_rss_mb"": 236.984375, ""step_ms_all"": [525.731875000929, 524.0172920020996], ""process_rss_mb"": 492.375, ""mps_current_allocated_mb"": 65.2109375, ""mps_driver_allocated_mb"": 5738.71875, ""mps_current_allocated_sampled_peak_mb"": 4690.80615234375}","{""torch"":""2.14.0"",""device_name"":""Apple M1 Pro (16-core GPU)"",""seed"":1234,""git_commit"":""2c24789d48523ca307f7e9c6d6bded783520cc40"",""code_sha256"":""ad2062058ca50491"",""hostname"":""Kims-MacBook-Pro-16.local""}"
20260919T172639,2026-09-19T17:29:09.568+07:00,memory,mps,Apple M1 Pro (16-core GPU),small,synthetic_markov,256,256,fp32,config,,2340.7520830041904,27997.839017573002,tokens/s,11560.71875,"mps_driver_allocated_memory (sampled max, lower bound of peak; includes allocator cache)",8.213111877441406,,ok,,,"{""ladder"": ""batch_size"", ""d_model"": 256, ""n_layers"": 4, ""n_heads"": 4, ""tokens_per_step"": 65536, ""wall_s"": 9.576249122619629, ""n_params"": 4273664, ""capacity_mb"": 25559.046875, ""capacity_kind"": ""Metal recommended max working set (unified memory)"", ""baseline_rss_mb"": 235.859375, ""step_ms_all"": [2343.3866250052233, 2338.1175410031574], ""process_rss_mb"": 490.328125, ""mps_current_allocated_mb"": 65.2109375, ""mps_driver_allocated_mb"": 11560.703125, ""mps_current_allocated_sampled_peak_mb"": 8341.807373046875}","{""torch"":""2.14.0"",""device_name"":""Apple M1 Pro (16-core GPU)"",""seed"":1234,""git_commit"":""2c24789d48523ca307f7e9c6d6bded783520cc40"",""code_sha256"":""ad2062058ca50491"",""hostname"":""Kims-MacBook-Pro-16.local""}"
20260919T172639,2026-09-19T17:29:16.763+07:00,memory,mps,Apple M1 Pro (16-core GPU),small,synthetic_markov,512,256,fp32,config,,,,,,,,,oom,SafetyCapSystemMemory,"killed: system available memory fell below 2.0 GB; a suite safety limit, not a native OOM","{""ladder"": ""batch_size"", ""d_model"": 256, ""n_layers"": 4, ""n_heads"": 4, ""tokens_per_step"": 131072, ""wall_s"": 7.179991960525513, ""n_params"": null, ""capacity_mb"": null, ""capacity_kind"": null, ""baseline_rss_mb"": null}","{""torch"":""2.14.0"",""device_name"":""Apple M1 Pro (16-core GPU)"",""seed"":1234,""git_commit"":""2c24789d48523ca307f7e9c6d6bded783520cc40"",""code_sha256"":""ad2062058ca50491"",""hostname"":""Kims-MacBook-Pro-16.local""}"
20260919T172639,2026-09-19T17:29:20.118+07:00,memory,mps,Apple M1 Pro (16-core GPU),small,synthetic_markov,8,128,fp32,config,,26.130479000130435,39187.95365346684,tokens/s,1194.75,"mps_driver_allocated_memory (sampled max, lower bound of peak; includes allocator cache)",7.735926151275635,,ok,,,"{""ladder"": ""sequence_length"", ""d_model"": 256, ""n_layers"": 4, ""n_heads"": 4, ""tokens_per_step"": 1024, ""wall_s"": 3.2486798763275146, ""n_params"": 4240896, ""capacity_mb"": 25559.046875, ""capacity_kind"": ""Metal recommended max working set (unified memory)"", ""baseline_rss_mb"": 237.171875, ""step_ms_all"": [31.785541999852285, 20.475416000408586], ""process_rss_mb"": 486.125, ""mps_current_allocated_mb"": 64.7109375, ""mps_driver_allocated_mb"": 1194.734375, ""mps_current_allocated_sampled_peak_mb"": 154.257568359375}","{""torch"":""2.14.0"",""device_name"":""Apple M1 Pro (16-core GPU)"",""seed"":1234,""git_commit"":""2c24789d48523ca307f7e9c6d6bded783520cc40"",""code_sha256"":""ad2062058ca50491"",""hostname"":""Kims-MacBook-Pro-16.local""}"
20260919T172639,2026-09-19T17:29:22.976+07:00,memory,mps,Apple M1 Pro (16-core GPU),small,synthetic_markov,8,256,fp32,config,,43.12164600196411,47493.54882943748,tokens/s,1314.75,"mps_driver_allocated_memory (sampled max, lower bound of peak; includes allocator cache)",7.880303382873535,,ok,,,"{""ladder"": ""sequence_length"", ""d_model"": 256, ""n_layers"": 4, ""n_heads"": 4, ""tokens_per_step"": 2048, ""wall_s"": 2.852066993713379, ""n_params"": 4273664, ""capacity_mb"": 25559.046875, ""capacity_kind"": ""Metal recommended max working set (unified memory)"", ""baseline_rss_mb"": 236.28125, ""step_ms_all"": [49.63208300614497, 36.61120899778325], ""process_rss_mb"": 486.703125, ""mps_current_allocated_mb"": 65.2109375, ""mps_driver_allocated_mb"": 1314.734375, ""mps_current_allocated_sampled_peak_mb"": 308.461669921875}","{""torch"":""2.14.0"",""device_name"":""Apple M1 Pro (16-core GPU)"",""seed"":1234,""git_commit"":""2c24789d48523ca307f7e9c6d6bded783520cc40"",""code_sha256"":""ad2062058ca50491"",""hostname"":""Kims-MacBook-Pro-16.local""}"
20260919T172639,2026-09-19T17:29:25.827+07:00,memory,mps,Apple M1 Pro (16-core GPU),small,synthetic_markov,8,512,fp32,config,,78.52439600173966,52162.13315297905,tokens/s,1218.75,"mps_driver_allocated_memory (sampled max, lower bound of peak; includes allocator cache)",7.951190948486328,,ok,,,"{""ladder"": ""sequence_length"", ""d_model"": 256, ""n_layers"": 4, ""n_heads"": 4, ""tokens_per_step"": 4096, ""wall_s"": 2.840376853942871, ""n_params"": 4339200, ""capacity_mb"": 25559.046875, ""capacity_kind"": ""Metal recommended max working set (unified memory)"", ""baseline_rss_mb"": 235.9375, ""step_ms_all"": [77.14854199730325, 79.90025000617607], ""process_rss_mb"": 488.21875, ""mps_current_allocated_mb"": 66.2109375, ""mps_driver_allocated_mb"": 1218.71875, ""mps_current_allocated_sampled_peak_mb"": 664.869873046875}","{""torch"":""2.14.0"",""device_name"":""Apple M1 Pro (16-core GPU)"",""seed"":1234,""git_commit"":""2c24789d48523ca307f7e9c6d6bded783520cc40"",""code_sha256"":""ad2062058ca50491"",""hostname"":""Kims-MacBook-Pro-16.local""}"
